log(log(P/Po)),log(Vads)
-2.7419e+00,1.2176e+00
-2.3261e+00,1.2200e+00
-1.6782e+00,1.0220e+00
-1.2977e+00,8.6728e-01
-1.1442e+00,8.0846e-01
-9.9321e-01,7.5271e-01
-9.0471e-01,7.1705e-01
-7.8478e-01,6.6688e-01
-7.2092e-01,6.3951e-01
-6.3858e-01,6.0303e-01
-5.6736e-01,5.7039e-01
-5.0754e-01,5.2693e-01
-4.5277e-01,4.5695e-01
-3.8629e-01,4.1525e-01
-3.2125e-01,3.8059e-01
-2.7235e-01,3.5520e-01
-2.0229e-01,3.1672e-01
-1.3080e-01,2.7990e-01
-7.4838e-02,2.5051e-01
2.9044e-02,1.9755e-01
1.6703e-01,1.2634e-01
