"Radius of curvature","Vapor-Liquid Intrface Area"
2.2873e+03,0.0000e+00
8.7808e+02,-2.2687e-03
1.9754e+02,5.8068e-01
8.2251e+01,1.4203e+00
5.7758e+01,1.8457e+00
4.0797e+01,2.3471e+00
3.3276e+01,2.7235e+00
2.5247e+01,3.3362e+00
2.1794e+01,3.7113e+00
1.8030e+01,4.2620e+00
1.5303e+01,4.8044e+00
1.3334e+01,5.5731e+00
1.1754e+01,6.8128e+00
1.0086e+01,7.5599e+00
8.6830e+00,8.2214e+00
7.7584e+00,8.7363e+00
6.6025e+00,9.5694e+00
5.6004e+00,1.0430e+01
4.9233e+00,1.1166e+01
3.8759e+00,1.2623e+01
2.8209e+00,1.4881e+01
